season,first_name,last_name,jersey,position,games_played,points,total_goals,1pt_goals,2pt_goals,scoring_points,assists,shots,shot_pct,shots_on_goal,sog_pct,2pt_shots,2pt_shot_pct,2pt_shots_on_goal,groundballs,turnovers,caused_turnovers,faceoffs,faceoff_wins,faceoff_losses,faceoff_pct,saves,save_pct,scores_against,scores_against_average,2pt_goals_against,2pt_gaa,time_on_field,total_penalties,penalty_minutes,power_play_goals,power_play_shots,short_handed_goals,short_handed_shots,short_handed_goals_against,power_play_goals_against
2021,Matt,Kavanagh,10.0,A,9,20,15,15,0,15,5,53,0.2830188679245283,31,0.5849056603773585,1,0.0,1,10,10,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,1,0,0,,0
2021,Myles,Jones,15.0,M,9,32,14,13,1,15,17,39,0.358974358974359,26,0.6666666666666666,6,0.1666666666666666,5,14,13,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,3,0,0,,0
2021,Sergio,Perkovic,16.0,M,9,24,14,9,5,19,5,43,0.3255813953488372,27,0.627906976744186,12,0.4166666666666667,8,12,10,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,4,4,0,0,,0
2021,Kyle,Harrison,18.0,M,9,6,4,3,1,5,1,17,0.2352941176470588,10,0.5882352941176471,3,0.3333333333333333,2,2,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Charlie,Leonard,47.0,FO,1,0,0,0,0,0,0,1,0.0,1,1.0,0,0.0,0,4,2,0,17,5,12,0.2941176470588235,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Ryder,Garnsey,50.0,A,9,15,14,14,0,14,1,45,0.3111111111111111,23,0.5111111111111111,1,0.0,0,10,16,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,2,1,1,,0
2021,Garrett,Epple,52.0,D,9,2,2,2,0,2,0,7,0.2857142857142857,5,0.7142857142857143,4,0.0,3,20,3,16,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,2.0,0,0,0,1,,0
2021,Jack,Kelly,94.0,G,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,3,1,0,0,0,0,0.0,10,0.434782608695652,13,12.999999999999998,0,0.0,2880,0,0.0,0,0,0,0,,0
2021,Matt,DeLuca,1.0,G,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,1,9.56810631229236,0,0.0,301,0,0.0,0,0,0,0,,0
2021,Ben,Reeves,2.0,A,8,11,8,8,0,8,3,23,0.3478260869565217,15,0.6521739130434783,0,0.0,0,4,14,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Ryan,Brown,4.0,A,9,21,20,20,0,20,1,70,0.2857142857142857,37,0.5285714285714286,7,0.0,5,17,4,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,1.5,1,12,0,0,,0
2021,Michael,Kraus,5.0,A,4,4,1,1,0,1,3,11,0.0909090909090909,6,0.5454545454545454,1,0.0,1,2,6,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,,0
2021,Kieran,McArdle,6.0,A,8,25,12,11,1,13,12,45,0.2666666666666666,30,0.6666666666666666,2,0.5,2,12,19,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,1,4,0,0,,0
2021,Steven,DeNapoli,7.0,SSDM,9,3,3,3,0,3,0,7,0.4285714285714285,4,0.5714285714285714,0,0.0,0,6,5,7,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,3,2.0,0,0,0,0,,0
